,restaurant_name,location_url
11,জম জম হোটেল এন্ড রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%9C%E0%A6%AE+%E0%A6%9C%E0%A6%AE+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a5002790e659:0x9bdf313678b10201!8m2!3d22.8729399!4d91.0911995!16s%2Fg%2F11y7ws3l4d!19sChIJWeaQJwClVDcRAQKxeDYx35s?authuser=0&hl=bn&rclk=1
12,Rupa’s cake Fantasy,https://www.google.com/maps/place/Rupa%E2%80%99s+cake+Fantasy/data=!4m7!3m6!1s0x3754a5004b23994b:0x6cce1e8459484a84!8m2!3d22.8820464!4d91.1010247!16s%2Fg%2F11mdsfjg34!19sChIJS5kjSwClVDcRhEpIWYQezmw?authuser=0&hl=bn&rclk=1
13,মেসার্স রয়েল হোটেল এন্ড রেষ্টুরেন্ট !!,https://www.google.com/maps/place/%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%E0%A6%B0%E0%A7%9F%E0%A7%87%E0%A6%B2+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F+!!/data=!4m7!3m6!1s0x3754a48a1b8993fb:0x97e4323e92059f26!8m2!3d22.8837411!4d91.0961327!16s%2Fg%2F11csqb8xwt!19sChIJ-5OJG4qkVDcRJp8Fkj4y5Jc?authuser=0&hl=bn&rclk=1
14,নূর হোটেল এন্ড রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%A8%E0%A7%82%E0%A6%B0+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a5a7a44bfa3b:0x6dcacc06e2e6d59e!8m2!3d22.8946484!4d91.0981617!16s%2Fg%2F11n0np2rlp!19sChIJO_pLpKelVDcRntXm4gbMym0?authuser=0&hl=bn&rclk=1
15,"Nabab Convention Hall, Hotel, Chinese & Restaurant","https://www.google.com/maps/place/Nabab+Convention+Hall,+Hotel,+Chinese+%26+Restaurant/data=!4m7!3m6!1s0x3754a5007786cbfd:0x561cccfd348cc419!8m2!3d22.8778356!4d91.0966311!16s%2Fg%2F11wxgnhc48!19sChIJ_cuGdwClVDcRGcSMNP3MHFY?authuser=0&hl=bn&rclk=1"
16,ক্যাফে 16,https://www.google.com/maps/place/%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87+16/data=!4m7!3m6!1s0x3754a53eec95577d:0x31a22e3ee57b05e2!8m2!3d22.8879523!4d91.0970695!16s%2Fg%2F11rmnhjdyx!19sChIJfVeV7D6lVDcR4gV75T4uojE?authuser=0&hl=bn&rclk=1
17,মিয়ামি লেইজার স্পট,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%AE%E0%A6%BF+%E0%A6%B2%E0%A7%87%E0%A6%87%E0%A6%9C%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%9F/data=!4m7!3m6!1s0x3754a578138d34b3:0x7479623a51f98830!8m2!3d22.8804998!4d91.1083689!16s%2Fg%2F11jcnvd2dd!19sChIJszSNE3ilVDcRMIj5UTpieXQ?authuser=0&hl=bn&rclk=1
18,ফুড লাউঞ্জ অ্যান্ড ক্যাটারিং,https://www.google.com/maps/place/%E0%A6%AB%E0%A7%81%E0%A6%A1+%E0%A6%B2%E0%A6%BE%E0%A6%89%E0%A6%9E%E0%A7%8D%E0%A6%9C+%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A6%82/data=!4m7!3m6!1s0x3754a5ed4b801ebb:0x900c358517ab0903!8m2!3d22.8843224!4d91.1051035!16s%2Fg%2F11t6nnp5hn!19sChIJux6AS-2lVDcRAwmrF4U1DJA?authuser=0&hl=bn&rclk=1
19,হ্যাংআউট রেস্টুরেন্ট & মিউজিক ক্যাফে,https://www.google.com/maps/place/%E0%A6%B9%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%86%E0%A6%89%E0%A6%9F+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F+%26+%E0%A6%AE%E0%A6%BF%E0%A6%89%E0%A6%9C%E0%A6%BF%E0%A6%95+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87/data=!4m7!3m6!1s0x3754a45887056563:0x6b991b8e7459feef!8m2!3d22.8699515!4d91.0973879!16s%2Fg%2F11f1242pqg!19sChIJY2UFh1ikVDcR7_5ZdI4bmWs?authuser=0&hl=bn&rclk=1
20,গ্র্যান্ড হোটেল অ্যান্ড রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a4f808bcc067:0x9b4be386347a9ed7!8m2!3d22.8657109!4d91.0968299!16s%2Fg%2F11byflmc6y!19sChIJZ8C8CPikVDcR1556NIbjS5s?authuser=0&hl=bn&rclk=1
