,restaurant_name,location_url
11,অনলাইন শপ,https://www.google.com/maps/place/%E0%A6%85%E0%A6%A8%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%A8+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3754a559f41824af:0x4c9353f86f00640b!8m2!3d22.8482898!4d91.0757791!16s%2Fg%2F11k4_fxlxp!19sChIJryQY9FmlVDcRC2QAb_hTk0w?authuser=0&hl=bn&rclk=1
12,"ওয়ালটন প্লাজা মাইজদী, নোয়াখালী","https://www.google.com/maps/place/%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2%E0%A6%9F%E0%A6%A8+%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%9C%E0%A6%BE+%E0%A6%AE%E0%A6%BE%E0%A6%87%E0%A6%9C%E0%A6%A6%E0%A7%80,+%E0%A6%A8%E0%A7%8B%E0%A7%9F%E0%A6%BE%E0%A6%96%E0%A6%BE%E0%A6%B2%E0%A7%80/data=!4m7!3m6!1s0x3754a4f899cd3ac1:0x3c01c315111f3752!8m2!3d22.862092!4d91.0962946!16s%2Fg%2F11bztbfmvv!19sChIJwTrNmfikVDcRUjcfERXDATw?authuser=0&hl=bn&rclk=1"
13,গ্রিন কম্পিউটার্স & ট্রেনিং সেন্টের,https://www.google.com/maps/place/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A8+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%26+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A6%BF%E0%A6%82+%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B0/data=!4m7!3m6!1s0x3754a54f55e8c773:0x5403de68441fff00!8m2!3d22.8590844!4d91.0949225!16s%2Fg%2F11kzwzf3rc!19sChIJc8foVU-lVDcRAP8fRGjeA1Q?authuser=0&hl=bn&rclk=1
14,Mobile Point,https://www.google.com/maps/place/Mobile+Point/data=!4m7!3m6!1s0x3754a5cae67311b5:0x5b9d8c029224e311!8m2!3d22.8685815!4d91.096759!16s%2Fg%2F11j3wrxnf3!19sChIJtRFz5sqlVDcREeMkkgKMnVs?authuser=0&hl=bn&rclk=1
15,COMPUTER GALLERY [ কম্পিউটার গ্যালারী ],https://www.google.com/maps/place/COMPUTER+GALLERY+%5B+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%97%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%B0%E0%A7%80+%5D/data=!4m7!3m6!1s0x3754a3debf9363a1:0x66644ee74138084c!8m2!3d22.9460882!4d91.1209112!16s%2Fg%2F11fdyk0gvh!19sChIJoWOTv96jVDcRTAg4QedOZGY?authuser=0&hl=bn&rclk=1
16,সাকসেস কম্পিউটার্স,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%BE%E0%A6%95%E0%A6%B8%E0%A7%87%E0%A6%B8+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3754a3d275b91cd7:0x268eb70f92b03184!8m2!3d22.9457205!4d91.1205187!16s%2Fg%2F11cn5qp4yq!19sChIJ1xy5ddKjVDcRhDGwkg-3jiY?authuser=0&hl=bn&rclk=1
17,আইটি পয়েন্ট,https://www.google.com/maps/place/%E0%A6%86%E0%A6%87%E0%A6%9F%E0%A6%BF+%E0%A6%AA%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a5c25eb9dd7d:0xc6d2383ee808e5ea!8m2!3d22.8497309!4d91.0969271!16s%2Fg%2F11rhsxxc_m!19sChIJfd25XsKlVDcR6uUI6D440sY?authuser=0&hl=bn&rclk=1
18,ইট-সলিউশন,https://www.google.com/maps/place/%E0%A6%87%E0%A6%9F-%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3754a5a32cc3ab99:0x4760fd464c884eaf!8m2!3d22.8246384!4d91.1017334!16s%2Fg%2F11rn7b2qdx!19sChIJmavDLKOlVDcRr06ITEb9YEc?authuser=0&hl=bn&rclk=1
19,আলাম ইলেকট্রিক,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B2%E0%A6%BE%E0%A6%AE+%E0%A6%87%E0%A6%B2%E0%A7%87%E0%A6%95%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%95/data=!4m7!3m6!1s0x3754a5acc9803959:0xf47e03e16cf5aaa5!8m2!3d22.8540629!4d91.1025787!16s%2Fg%2F11gg6ds44b!19sChIJWTmAyaylVDcRpar1bOEDfvQ?authuser=0&hl=bn&rclk=1
20,Lavlu Coffee House,https://www.google.com/maps/place/Lavlu+Coffee+House/data=!4m7!3m6!1s0x3754a5c427cb7927:0x6ce89f4411935c2b!8m2!3d22.8777049!4d91.1043617!16s%2Fg%2F11gs8b851x!19sChIJJ3nLJ8SlVDcRK1yTEUSf6Gw?authuser=0&hl=bn&rclk=1
21,ফাস্টেক কম্পিউটার্স,https://www.google.com/maps/place/%E0%A6%AB%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%95+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3754a3cb871288a5:0xfb25d6d7430560fa!8m2!3d22.9460308!4d91.1207948!16s%2Fg%2F11g8yk_tlf!19sChIJpYgSh8ujVDcR-mAFQ9fWJfs?authuser=0&hl=bn&rclk=1
22,ওয়ালটন এক্সক্লুসিভ,https://www.google.com/maps/place/%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2%E0%A6%9F%E0%A6%A8+%E0%A6%8F%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A7%81%E0%A6%B8%E0%A6%BF%E0%A6%AD/data=!4m7!3m6!1s0x3754a5aa822c3ed3:0xdee4ef860a4b3b84!8m2!3d22.8518818!4d91.0970909!16s%2Fg%2F11dxq99tnt!19sChIJ0z4sgqqlVDcRhDtLCobv5N4?authuser=0&hl=bn&rclk=1
23,এস আর কম্পিউটার,https://www.google.com/maps/place/%E0%A6%8F%E0%A6%B8+%E0%A6%86%E0%A6%B0+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x3754a5d83c0848a5:0x8c6b61aa1b164f6f!8m2!3d22.8246384!4d91.1017334!16s%2Fg%2F11s7vsjv9x!19sChIJpUgIPNilVDcRb08WG6pha4w?authuser=0&hl=bn&rclk=1
