laptop_name,price,rating,detail
"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)","₹14,990",3.8,"Laptop, Charger, Product manual|CX1500CKA-NJ0393|90NX03Y2-M00E20|CX1500CKA-NJ0393|Chromebook|Transparent Silver|Chromebook|Processing & Multitasking|No|Intel|Celeron Dual Core|No|4 GB|LPDDR4X|64 GB|N4500|1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz|Intel Integrated UHD|eMMC|Chrome|2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C|No|39.62 cm (15.6 Inch)|1920 x 1080 Pixel|Full HD, LED Backlit|Wi-Fi 6 (802.11ax)|v5.2|361.3 x 249.9 x 18.7 mm|1.80 Kg|Not Available|720p HD camera|No|Chiclet Keyboard with Num-key|No|1 Year Onsite Warranty|Onsite|Manufacturing Defect|Physical Damage"
"ASUS Zenbook A14 OLED (2025), Copilot+PC, MSO 2024 + M365 Basic, AI PC, Metal Body, Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) UX3407QA-QD259WS Thin and Light Laptop  (14 Inch, Iceland Gray, 0.98 Kg, With MS Office)","₹89,990",4,"Laptop, Power Adaptor, Sleeve, User Guide, Warranty Documents|UX3407QA-QD259WS|90NB1502-M00FL0|UX3407QA-QD259WS|Zenbook A14 OLED (2025), Copilot+PC, MSO 2024 + M365 Basic, AI PC, Metal Body,|Iceland Gray|Thin and Light Laptop|Processing & Multitasking|TYPE-C 65W AC Ultra Mini Adapter|3-cell Li-ion|Yes|No|Qualcomm|Snapdragon X|Yes|512 GB|16 GB|LPDDR5X|X1 26 100|up to 2.97GHz|1 TB|8448 MHz|30MB|Qualcomm Adreno Adreno|8|SSD|Windows 11 Home|Windows 11 Home|Yes|1 x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps), 2 x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps)|1 x HDMI 2.1 TMDS|M.2 2280 PCIe 4.0x4|No|35.56 cm (14 Inch)|1920 x 1200 Pixel|FHD+ (1920 x 1200, WUXGA) OLED 16:10 aspect ratio, 60Hz refresh rate, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, Glossy panel, 90% Screen-to-body ratio, VESA CERTIFIED Display HDR True Black 600, TUV Rheinland-certified, SGS Eye Care Display,|Built-in speaker|Built-in array microphone|Smart Amp Technology|60 Hz|100% DCI-P3|600 Nits|TUV Rheinland-certified, SGS Eye Care Display, VESA CERTIFIED Display HDR True Black 600, Pantone certified|Wi-Fi 6E(802.11ax) (Triple band) 2*2|v5.3|310.7 x 213.9 x 134 mm|0.98 Kg|Not Available|FHD camera with IR function to support Windows Hello|No|Yes|Microsoft Pluton security processor, Trusted Platform Module (Firmware TPM)|McAfee 1 Year|Backlit Chiclet Keyboard|Yes|Precision touchpad|Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year|US MIL-STD 810H military-grade standard, AI Noise Canceling, 70WHrs, 3S1P, 3-cell Li-ion Battery|Sleeve|1 Year Onsite Warranty|Onsite|Manufacturing Defects Only|Physical Damage"
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)","₹17,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents|A311-45|UN.354SI.004|Aspire 3|Aspire 3|Steel Grey|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking|3 Pin 36 W AC Adapter|38 Wh Li-ion Battery|No|Intel|Celeron Dual Core|Yes|256 GB|8 GB|DDR4|16 GB|Intel Integrated UHD|SSD|64 bit|Windows 11 Home|Windows 11 Home|1 x Type C Port, 3 x USB 3.2 Port|1 x HDMI Port|No|29.46 cm (11.6 inch)|1366 x 768 Pixels|Two Built-in Stereo Speakers|802.11 a/b/g/n/ac Wireless LAN|v4.2|277.3 x 193.3 x 16.8 mm|1.0 kg|Not Available|1280 x 720 Resolution/720p HD Video|74-/75-/78-key Acer FineTip Keyboard|No|Multi Gesture Touchpad, Supporting Two Finger Scroll, Pinch, Action Center, Multitasking, Application Commands|No|1 Year Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin and Light Laptop  (15.6 inch, Grey Brush, 1.65 Kg)","₹19,990",3.7,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card|IN-N15I|IN-N15I312-8GR512|IN-N15I|NEO Core Series|Grey Brush|Thin and Light Laptop|Processing & Multitasking|Upto 6 hours|No|Intel|Core i3|12th Gen|Yes|512 GB|8 GB|LPDDR4|1215U|Max Frequency Up to 4.4 GHz|Intel Integrated UHD|SSD|Windows 11 Home|2 x USB 3.2 Gen 1, 1 x USB Type C 3.2 Gen 1|1 x HDMI port|No|39.62 cm (15.6 inch)|1920 x 1080 Pixel|Full HD|Yes|Yes|IEEE 802.11 ac|v5.0|357.4 x 233.8 x 19.9 mm|1.65 Kg|Not Available|2 Megapixel|Backlit Keyboard|1 Year Onsite warranty|Onsite|Any kind of Manufacturing defect or any hardware problem reported by Engineer will be covered under warranty.|Screen Damage, Water Spill, Accendental Damage, Fire Damage, Tampering ,Mishandling not covered"
"Lenovo V14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop  (14 Inch, Iron Grey, 1.62 Kg)","₹44,999",4.1,"Laptop, Power Adaptor, User Guide, Warranty Documents|V14|82TSA0HHIH|Lenovo V14 G3 IAP|V14|Iron Grey|Thin and Light Laptop|Processing & Multitasking|Up tp 4 Hours|Lithium Ion|No|DDR4|Intel|Core i7|12th Gen|Yes|512 GB|16 GB|DDR4|1255U|Max Turbo Frequency upto 4.7GHz|Intel Integrated Intel Integrated Iris|SSD|Windows 11 Home|Windows|1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2), 1 x HDMI 1.4b|1 x HDMI 1.4b|No|35.56 cm (14 Inch)|1920 X 1080 Pixel pixel|Display: 14.0"" screen with (1920x1080) FHD Antiglare, 250nits display | Graphics: Intel Iris Xe Graphics comes with DirectX 12.1 enables amazing graphics|Yes|359 x 236 x 19.9 mm|1.62 Kg|Not Available|No|Yes|No|1 Year brand Onsite Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.70 Kg, With MS Office)","₹48,990",4.4,"Laptop, Power Adaptor, User Guide, Warranty Documents|X1504VA-NJ540WS|90NB10J2-M00P20 / 90NB14G2-M00020|X1504VA-NJ540WS|Vivobook 15|Cool Silver|Thin and Light Laptop|Processing & Multitasking|Yes|Intel|Core i5|13th Gen|Yes|512 GB|16 GB|DDR4|1335U|1.3 GHz with Turbo Boost Upto 4.6 GHz|Intel Integrated Iris Xe|SSD|Windows 11 Home|1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A|No|39.62 cm (15.6 Inch)|1920 x 1080 Pixel|Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display|Yes|Yes|Wi-Fi 6E(802.11ax) (Dual band) 1*1|v5.3|359.7 x 232.5 x 17.9 mm|1.70 Kg|Not Available|720p HD camera With privacy shutter|Backlit Chiclet Keyboard|1 Year Onsite Warranty|Onsite|Manufacturing Defects|Physical Damage"
"HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook  (14 Inch, Forest Teal, 1.49 Kg)","₹17,990",4.1,"Laptop, Power Adapter, User Guide, Warranty Documents|14a-ca0504TU|678M6PA#ACJ|14a-ca0504TU|Chromebook|Forest Teal|Chromebook|Processing & Multitasking|2|No|Intel|Celeron Quad Core|No|4 GB|LPDDR4|64 GB|N4120|2.8|2400 MHz|4|Intel Integrated UHD Graphics|2|eMMC|64 bit|Chrome|Chrome 64|64|Yes|2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate|Yes|35.56 cm (14 Inch)|1366 x 768 Pixels|HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)|Dual speakers|Integrated dual array digital microphones|Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi|v5.0|325 x 219 x 17.9 mm|1.49 Kg|Not Available|HP Wide Vision 720p HD camera|Full-size, jet black keyboard|HP Imagepad with multi-touch gesture support|47 Wh Li-ion polymer battery|1 Year Onsite warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"ASUS Vivobook S15 OLED Powered Copilot + PC, AI PC, Full Metal Body, Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) S5507QA-MA551WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.42 Kg, With MS Office)","₹74,980",4.1,"Laptop, Power Adaptor, User Guide, Warranty Documents|S5507QA-MA551WS|90NB14Q2-M00150|S5507QA-MA551WS|Vivobook S15 OLED Powered Copilot + PC, AI PC, Full Metal Body,|Cool Silver|Thin and Light Laptop|Processing & Multitasking|70 W|3 Cell|Yes|Snapdragon|X Plus|Yes|1 TB|16 GB|LPDDR5X|X1P 42 100|Max Frequency up to 3.4GHz|NA|SSD|Windows 11 Home|2 x USB 3.2 Gen 1 Type-A, 2 x USB 4.0 Gen 3 Type-C support display / power delivery|1 x HDMI 2.1|No|39.62 cm (15.6 Inch)|2880 x 1620 Pixel|3K OLED 16:9 aspect ratio, 0.2ms response time, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, 70% less harmful blue light, TUV Rheinland-certified, SGS Eye Care Display|Yes|Yes|Wi-Fi 7(802.11be) (Tri-band)2*2|v5.4|352.6 x 226.9 x 15.9 mm|1.42 Kg|Not Available|FHD camera with IR function to support Windows Hello With privacy shutter|Backlit Chiclet Keyboard 1-Zone RGB with Num-key With Copilot key|1 Year Onsite Warranty|Onsite|Manufacturing Defects|Physical damage"
"Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin and Light Laptop  (15.6 inch, Grey Brush, 1.65 Kg)","₹19,990",3.7,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card|IN-N15I|IN-N15I312-8GR256|IN-N15I|NEO Core Series|Grey Brush|Thin and Light Laptop|Processing & Multitasking|Upto 6 hours|No|Intel|Core i3|12th Gen|Yes|256 GB|8 GB|LPDDR4|1215U|Max Frequency Up to 4.4 GHz|Intel Integrated UHD|SSD|Windows 11 Home|2 x USB 3.2 Gen 1, 1 x USB Type C 3.2 Gen 1|1 x HDMI port|No|39.62 cm (15.6 inch)|1920 x 1080 Pixel|Full HD|Yes|Yes|IEEE 802.11 ac|v5.0|357.4 x 233.8 x 19.9 mm|1.65 Kg|Not Available|2 Megapixel|Backlit Keyboard|1 Year Onsite warranty|Onsite|Any kind of Manufacturing defect or any hardware problem reported by Engineer will be covered under warranty.|Screen Damage, Water Spill, Accendental Damage, Fire Damage, Tampering ,Mishandling not covered"
"Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹28,990",4.2,"Laptop, Power Adaptor, User Guide, Warranty Documents|AO 14 Z 8-415|UN.599SI.011|UN.599SI.016|UN.599SI.011|Z8-415|One|Silver|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking, Everyday Use, Learning, Travel & Business|45 W Power Adapter|2 Cell|No|DDR4|Intel|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|1115G4|3.00GHz Upto 4.10GHz|Upto 32 GB|Intel Integrated Integrated|SSD|64 bit|Windows 11 Home|Windows 11 Home|64 bit|2 x USB 3.2 Gen 1 Type A, 1 x USB 3.2 Gen 1 Type C|1 x HDMI 2.0 Port|No|35.56 cm (14 Inch)|1920 x 1080 Pixel|Full HD|802.11 ax|v5.0|Gigabit Ethernet|323 x 221 x 21.6|1.49 Kg|Not Available|HD webcam with Privacy Camera Physical Shutter|Isolated Keys keyboard|No|Touchpad with multi gesture and scrolling function|45.5 Wh Li-ion Battery|1 Year Warranty|please call the Acer Customer Support -1800-11-6677 / Television : +91 76696 10805|Manufacturing Defects|Physical damage|1 Year"
